Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"AALBERTS NV";NL0000852564;AALB;"Euronext Amsterdam";EUR;31.34;31.42;30.92;30.94;"03/07/2025 17:35";CET;109657;3404369.92;30.94;03/07/2025
"ABN AMRO BANK N.V.";NL0011540547;ABN;"Euronext Amsterdam";EUR;24.05;24.21;23.65;24.21;"03/07/2025 17:35";CET;2534444;60874179.36;24.21;03/07/2025
ACCSYS;GB00BQQFX454;AXS;"Euronext Amsterdam";EUR;0.742;0.755;0.742;0.751;"03/07/2025 17:35";CET;170661;127610.56;0.751;03/07/2025
ACOMO;NL0000313286;ACOMO;"Euronext Amsterdam";EUR;23.15;23.15;22.95;23.15;"03/07/2025 17:35";CET;14132;326153.95;23.15;03/07/2025
ADYEN;NL0012969182;ADYEN;"Euronext Amsterdam";EUR;1527.40;1541.00;1516.80;1535.00;"03/07/2025 17:35";CET;51396;78729233.00;1535.00;03/07/2025
AEDIFICA;BE0003851681;AED;"Euronext Brussels, Amsterdam";EUR;64.80;65.20;64.65;65.20;"03/07/2025 17:35";CET;61070;3977268.38;65.20;03/07/2025
AEGON;BMG0112X1056;AGN;"Euronext Amsterdam";EUR;6.124;6.214;6.116;6.212;"03/07/2025 17:35";CET;6943906;42953428.50;6.212;03/07/2025
"Agility Capital H";VGG885761301;AGIL;"Euronext Amsterdam";USD;2.94;2.94;2.94;2.94;"03/07/2025 13:36";CET;200;588.00;2.94;03/07/2025
"AHOLD DEL";NL0011794037;AD;"Euronext Amsterdam, Brussels";EUR;35.36;35.76;35.32;35.71;"03/07/2025 17:35";CET;1361385;48495079.20;35.71;03/07/2025
"AIR FRANCE -KLM";FR001400J770;AF;"Euronext Paris, Amsterdam";EUR;10.025;10.13;9.758;9.902;"03/07/2025 17:35";CET;1406773;13948220.81;9.902;03/07/2025
AJAX;NL0000018034;AJAX;"Euronext Amsterdam";EUR;9.70;9.72;9.64;9.72;"03/07/2025 17:16";CET;450;4355.02;9.72;03/07/2025
"AKZO NOBEL";NL0013267909;AKZA;"Euronext Amsterdam";EUR;60.34;61.46;60.00;60.50;"03/07/2025 17:36";CET;568046;34557431.21;60.50;03/07/2025
ALFEN;NL0012817175;ALFEN;"Euronext Amsterdam";EUR;10.845;10.95;10.70;10.86;"03/07/2025 17:35";CET;287091;3110422.59;10.86;03/07/2025
"ALLFUNDS GROUP";GB00BNTJ3546;ALLFG;"Euronext Amsterdam";EUR;6.825;6.95;6.79;6.94;"03/07/2025 17:35";CET;1021614;7069078.55;6.94;03/07/2025
"ALMUNDA PRO NV";NL0010696704;AMUND;"Euronext Amsterdam";EUR;1.15;1.15;1.10;1.15;"03/07/2025 17:17";CET;110;126.35;1.15;03/07/2025
"ALUMEXX N.V.";NL0012194724;ALX;"Euronext Amsterdam";EUR;1.53;1.59;1.53;1.59;"03/07/2025 15:54";CET;1586;2498.41;1.59;03/07/2025
AMG;NL0000888691;AMG;"Euronext Amsterdam";EUR;22.08;22.64;21.98;22.08;"03/07/2025 17:35";CET;250942;5578029.98;22.08;03/07/2025
APERAM;LU0569974404;APAM;"Euronext Amsterdam, Brussels, Paris";EUR;28.32;28.32;27.04;27.18;"03/07/2025 17:35";CET;205012;5621825.18;27.18;03/07/2025
ARCADIS;NL0006237562;ARCAD;"Euronext Amsterdam";EUR;41.58;41.66;40.82;41.14;"03/07/2025 17:35";CET;97824;4028737.22;41.14;03/07/2025
"ARCELORMITTAL SA";LU1598757687;MT;"Euronext Amsterdam, Paris";EUR;28.03;28.31;27.63;27.84;"03/07/2025 17:35";CET;1675067;46690039.62;27.84;03/07/2025
"ASM INTERNATIONAL";NL0000334118;ASM;"Euronext Amsterdam";EUR;521.20;521.20;509.00;515.40;"03/07/2025 17:37";CET;155037;79799886.60;515.40;03/07/2025
"ASML HOLDING";NL0010273215;ASML;"Euronext Amsterdam";EUR;679.00;680.90;663.30;677.10;"03/07/2025 17:36";CET;537338;361767801.20;677.10;03/07/2025
"ASR NEDERLAND";NL0011872643;ASRNL;"Euronext Amsterdam";EUR;55.80;56.02;55.66;56.02;"03/07/2025 17:35";CET;216477;12111821.68;56.02;03/07/2025
AVANTIUM;NL0015002IE0;AVTX;"Euronext Amsterdam, Brussels";EUR;15.12;16.20;15.05;15.47;"03/07/2025 17:35";CET;426260;6641983.29;15.47;03/07/2025
AZERION;NL00150006Z9;AZRN;"Euronext Amsterdam";EUR;1.22;1.22;1.175;1.175;"03/07/2025 17:35";CET;83874;99689.33;1.175;03/07/2025
"AZERION WARRANTS";NL00150007A0;AZRNW;"Euronext Amsterdam";EUR;0.0005;0.0005;0.0005;0.0005;"30/05/2025 16:25";CET;166;0.08;0.0005;03/07/2025
"B&S Group";LU1789205884;BSGR;"Euronext Amsterdam";EUR;5.89;5.89;5.87;5.88;"03/07/2025 17:35";CET;5079;29862.55;5.88;03/07/2025
"BAM GROEP KON";NL0000337319;BAMNB;"Euronext Amsterdam";EUR;7.25;7.31;7.245;7.295;"03/07/2025 17:35";CET;372460;2711073.17;7.295;03/07/2025
"BANIJAY GROUP";NL0015000X07;BNJ;"Euronext Amsterdam";EUR;8.50;8.50;8.45;8.45;"03/07/2025 17:35";CET;2339;19840.45;8.45;03/07/2025
"BANIJAY GROUP WARR";NL0015000H56;BNJW;"Euronext Amsterdam";EUR;0.25;0.25;0.25;0.25;"15/03/2022 11:07";CET;163;40.75;0.25;03/07/2025
BASIC-FIT;NL0011872650;BFIT;"Euronext Amsterdam";EUR;24.82;25.28;24.72;24.82;"03/07/2025 17:35";CET;79270;1975981.04;24.82;03/07/2025
"BE SEMICONDUCTOR";NL0012866412;BESI;"Euronext Amsterdam";EUR;123.00;123.05;119.85;121.95;"03/07/2025 17:35";CET;444237;53931184.42;121.95;03/07/2025
"BEVER HOLDING";NL0000285278;BEVER;"Euronext Amsterdam";EUR;3.00;3.00;3.00;3.00;"01/07/2025 16:30";CET;65;195.00;3.00;03/07/2025
BM3EAC;KYG137071075;BACE;"Euronext Amsterdam";USD;10.00;10.00;10.00;10.00;"14/03/2023 09:43";CET;354;3540.00;10.00;03/07/2025
"BRUNEL INTERNAT";NL0010776944;BRNL;"Euronext Amsterdam";EUR;9.04;9.28;8.95;9.16;"03/07/2025 17:35";CET;312307;2832940.27;9.16;03/07/2025
CABKA;NL00150000S7;CABKA;"Euronext Amsterdam";EUR;1.995;2.10;1.995;2.03;"03/07/2025 17:35";CET;9020;18236.36;2.03;03/07/2025
"CABKA DSC2 TS";NL00150002R5;DSC2S;"Euronext Amsterdam";EUR;-;-;-;-;-;CET;-;-;-;-
"CABKA EUR 12W";NL00150000U3;DSCW2;"Euronext Amsterdam";EUR;0.0025;0.0025;0.0025;0.0025;"27/06/2025 11:24";CET;8000;20.01;0.0025;03/07/2025
"CABKA EUR 13W";NL00150000V1;DSCW3;"Euronext Amsterdam";EUR;0.0015;0.0015;0.0015;0.0015;"27/06/2025 11:25";CET;8000;12.01;0.0015;03/07/2025
CM.COM;NL0012747059;CMCOM;"Euronext Amsterdam";EUR;7.00;7.13;6.99;7.07;"03/07/2025 17:35";CET;31468;221969.94;7.07;03/07/2025
Coca-ColaEuropacif;GB00BDCPN049;CCEP;"Euronext Amsterdam";EUR;79.50;81.00;79.50;81.00;"03/07/2025 17:35";CET;10674;855862.70;81.00;03/07/2025
CORBION;NL0010583399;CRBN;"Euronext Amsterdam";EUR;18.65;18.79;18.50;18.56;"03/07/2025 17:35";CET;81136;1509954.86;18.56;03/07/2025
CTAC;NL0000345577;CTAC;"Euronext Amsterdam";EUR;3.33;3.35;3.33;3.35;"03/07/2025 16:39";CET;86;287.68;3.35;03/07/2025
CTP;NL00150006R6;CTPNV;"Euronext Amsterdam";EUR;17.52;17.98;17.52;17.94;"03/07/2025 17:35";CET;104624;1874045.12;17.94;03/07/2025
"CVC CAPITAL";JE00BRX98089;CVC;"Euronext Amsterdam";EUR;17.65;17.79;17.51;17.69;"03/07/2025 17:39";CET;247507;4376459.91;17.69;03/07/2025
"DGB GROUP N.V.";NL0009169515;DGB;"Euronext Amsterdam";EUR;0.692;0.698;0.682;0.698;"03/07/2025 17:35";CET;40635;28175.29;0.698;03/07/2025
"DSM FIRMENICH AG";CH1216478797;DSFIR;"Euronext Amsterdam";EUR;90.12;90.82;89.56;90.10;"03/07/2025 17:35";CET;435039;39224697.91;90.10;03/07/2025
"EASE2PAY NV";NL0000345627;EAS2P;"Euronext Amsterdam";EUR;0.38;0.398;0.376;0.397;"03/07/2025 16:58";CET;46956;18320.23;0.397;03/07/2025
"EBUSCO HOLDING";NL0015002AG2;EBUS;"Euronext Amsterdam";EUR;0.5335;0.5365;0.5035;0.518;"03/07/2025 17:35";CET;526162;273621.37;0.518;03/07/2025
ENVIPCO;NL0015000GX8;ENVI;"Euronext Amsterdam";EUR;7.14;7.14;6.86;6.98;"03/07/2025 17:35";CET;35528;247513.54;6.98;03/07/2025
"EUROCASTLE INVEST.";GB00B94QM994;ECT;"Euronext Amsterdam";EUR;8.45;8.45;8.45;8.45;"27/06/2025 09:36";CET;25;211.25;8.45;03/07/2025
EUROCOMMERCIAL;NL0015000K93;ECMPA;"Euronext Amsterdam, Brussels";EUR;27.00;27.15;26.65;26.70;"03/07/2025 17:35";CET;77727;2087128.80;26.70;03/07/2025
EURONEXT;NL0006294274;ENX;"Euronext Paris, Amsterdam, Brussels";EUR;143.20;144.70;143.10;144.60;"03/07/2025 17:37";CET;131197;18929357.90;144.60;03/07/2025
"EXOR NV";NL0012059018;EXO;"Euronext Amsterdam";EUR;87.20;88.15;86.90;87.75;"03/07/2025 17:35";CET;127933;11224894.93;87.75;03/07/2025
FAGRON;BE0003874915;FAGR;"Euronext Brussels, Amsterdam";EUR;22.15;22.35;22.15;22.35;"03/07/2025 17:35";CET;61782;1378316.00;22.35;03/07/2025
FASTNED;NL0013654809;FAST;"Euronext Amsterdam";EUR;22.45;22.45;21.85;21.90;"03/07/2025 17:35";CET;24685;545356.70;21.90;03/07/2025
"FERRARI GROUP";GB00BN0VZ646;FERGR;"Euronext Amsterdam";EUR;9.22;9.22;9.03;9.06;"03/07/2025 17:35";CET;67283;610613.98;9.06;03/07/2025
FERROVIAL;NL0015001FS8;FER;"Euronext Amsterdam";EUR;44.72;45.22;44.68;45.22;"03/07/2025 16:55";CET;3910;175883.96;45.22;03/07/2025
"FLOW TRADERS";BMG3602E1084;FLOW;"Euronext Amsterdam";EUR;27.72;28.14;27.72;27.96;"03/07/2025 17:35";CET;85731;2398742.54;27.96;03/07/2025
FORFARMERS;NL0011832811;FFARM;"Euronext Amsterdam";EUR;4.055;4.10;4.035;4.035;"03/07/2025 17:35";CET;37075;150222.28;4.035;03/07/2025
FUGRO;NL00150003E1;FUR;"Euronext Amsterdam";EUR;12.06;12.12;11.89;11.91;"03/07/2025 17:35";CET;348065;4166096.05;11.91;03/07/2025
GALAPAGOS;BE0003818359;GLPG;"Euronext Amsterdam, Brussels";EUR;24.40;25.18;24.36;24.56;"03/07/2025 17:35";CET;149910;3712907.34;24.56;03/07/2025
GIG;GG00BMB5XZ39;CABLE;"Euronext Amsterdam";GBP;4.10;4.10;4.10;4.10;"26/06/2024 09:00";CET;100;410.00;4.10;03/07/2025
"HAL TRUST";BMG455841020;HAL;"Euronext Amsterdam";EUR;123.20;123.40;122.40;123.00;"03/07/2025 17:35";CET;12189;1499319.80;123.00;03/07/2025
HAVAS;NL0015002AH0;HAVAS;"Euronext Amsterdam";EUR;1.5385;1.5395;1.5045;1.5045;"03/07/2025 17:35";CET;924881;1397001.49;1.5045;03/07/2025
"HAWICK DATA NV";NL0010556726;HWK;"Euronext Amsterdam";EUR;2.18;2.18;2.08;2.08;"03/07/2025 16:30";CET;300;634.00;2.08;03/07/2025
"HEIJMANS KON";NL0009269109;HEIJM;"Euronext Amsterdam";EUR;52.60;52.70;52.05;52.35;"03/07/2025 17:35";CET;25802;1351062.90;52.35;03/07/2025
HEINEKEN;NL0000009165;HEIA;"Euronext Amsterdam";EUR;76.84;77.28;76.40;76.90;"03/07/2025 17:39";CET;1138121;87396977.71;76.90;03/07/2025
"HEINEKEN HOLDING";NL0000008977;HEIO;"Euronext Amsterdam";EUR;65.30;65.50;64.75;64.80;"03/07/2025 17:35";CET;136408;8852973.15;64.80;03/07/2025
"HOLLAND COLOURS";NL0000440311;HOLCO;"Euronext Amsterdam";EUR;114.00;114.00;112.00;112.00;"03/07/2025 16:16";CET;201;22530.00;112.00;03/07/2025
HYDRATEC;NL0009391242;HYDRA;"Euronext Amsterdam";EUR;169.00;169.00;165.00;165.00;"03/07/2025 17:08";CET;49;8265.00;165.00;03/07/2025
IMCD;NL0010801007;IMCD;"Euronext Amsterdam";EUR;115.15;116.05;114.50;114.50;"03/07/2025 17:35";CET;118732;13629536.63;114.50;03/07/2025
"ING GROEP N.V.";NL0011821202;INGA;"Euronext Amsterdam, Brussels";EUR;19.05;19.15;18.886;19.15;"03/07/2025 17:37";CET;7280443;138876305.35;19.15;03/07/2025
INPOST;LU2290522684;INPST;"Euronext Amsterdam";EUR;13.21;13.27;13.08;13.10;"03/07/2025 17:36";CET;1133133;14873008.49;13.10;03/07/2025
"JDE PEET'S";NL0014332678;JDEP;"Euronext Amsterdam";EUR;24.56;24.58;24.38;24.50;"03/07/2025 17:35";CET;318125;7792784.08;24.50;03/07/2025
