Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"European Equities"
"04 Jul 2025"
"All datapoints provided as of end of last active trading day."
2CRSI;FR0013341781;AL2SI;"Euronext Growth Paris";EUR;6.82;6.82;6.42;6.42;"03/07/2025 17:35";CET;218598;1433779.46;6.42;03/07/2025
74SOFTWARE;FR0011040500;74SW;"Euronext Paris";EUR;39.20;39.80;39.00;39.20;"03/07/2025 17:35";CET;2350;92612.00;39.20;03/07/2025
"AB SCIENCE";FR0010557264;AB;"Euronext Paris";EUR;1.36;1.496;1.346;1.472;"03/07/2025 17:35";CET;355920;516161.13;1.472;03/07/2025
"AB SCIENCE BSA";FR001400ZRT0;ABBS;"Euronext Paris";EUR;-;-;-;-;-;CET;-;-;-;-
"ABC ARBITRAGE";FR0004040608;ABCA;"Euronext Paris";EUR;6.24;6.32;6.24;6.29;"03/07/2025 17:35";CET;41831;262997.54;6.29;03/07/2025
ABEO;FR0013185857;ABEO;"Euronext Paris";EUR;9.56;9.56;9.46;9.50;"03/07/2025 17:35";CET;1137;10781.02;9.50;03/07/2025
"ABIONYX PHARMA";FR0012616852;ABNX;"Euronext Paris";EUR;1.22;1.22;1.19;1.208;"03/07/2025 17:25";CET;25484;30644.83;1.208;03/07/2025
ABIVAX;FR0012333284;ABVX;"Euronext Paris";EUR;7.04;7.18;6.56;6.70;"03/07/2025 17:35";CET;117612;819553.52;6.70;03/07/2025
"ABL Diagnostics";FR001400AHX6;ABLD;"Euronext Paris";EUR;5.40;5.40;5.40;5.40;"03/07/2025 16:30";CET;101;545.40;5.40;03/07/2025
"ABO GROUP";BE0974278104;ABO;"Euronext Brussels, Paris";EUR;6.10;6.10;6.10;6.10;"03/07/2025 09:24";CET;504;3074.40;6.10;03/07/2025
"ACANTHE DEV.";FR0000064602;ACAN;"Euronext Paris";EUR;0.334;0.345;0.334;0.344;"03/07/2025 16:20";CET;49464;16902.31;0.344;03/07/2025
ACCOR;FR0000120404;AC;"Euronext Paris";EUR;45.68;46.46;45.65;46.35;"03/07/2025 17:35";CET;666898;30860672.31;46.35;03/07/2025
ACHETER-LOUER.FR;FR001400SOY2;ALALO;"Euronext Growth Paris";EUR;0.0012;0.0012;0.001;0.001;"03/07/2025 17:35";CET;28015510;31496.56;0.001;03/07/2025
ACTEOS;FR0000076861;EOS;"Euronext Paris";EUR;1.17;1.20;1.16;1.20;"03/07/2025 11:24";CET;3212;3806.86;1.20;03/07/2025
"ACTIA GROUP";FR0000076655;ALATI;"Euronext Growth Paris";EUR;3.47;3.47;3.41;3.42;"03/07/2025 17:12";CET;2311;7966.54;3.42;03/07/2025
"ACTIVIUM GROUP";FR0010979377;MLACT;"Euronext Access Paris";EUR;1.22;1.22;1.22;1.22;"01/07/2025 17:23";CET;307;374.54;1.22;03/07/2025
